bin,frequency_hz,power_linear,power_dbfs,classification,folded_harmonic_order,is_fundamental,is_largest_spur
16543,504852.294921875,2.3675741897404515e-10,-97.85564250255666,noise,,0,0
16544,504882.8125,1.079103191436387e-40,-401.2680487013111,noise,,0,0
16545,504913.330078125,1.4234774380771723e-10,-100.06517259063219,noise,,0,0
16546,504943.84765625,2.07154758553584e-39,-388.43572933161715,noise,,0,0
16547,504974.365234375,3.105676759280425e-11,-106.67711594980803,noise,,0,0
16548,505004.8828125,2.9348269770947283e-38,-376.9228534461217,noise,,0,0
16549,505035.400390625,8.47898481199772e-11,-102.3152398975806,noise,,0,0
16550,505065.91796875,8.752679993730124e-41,-402.1772679655238,noise,,0,0
16551,505096.435546875,9.889973933163561e-12,-111.64672700156474,noise,,0,0
16552,505126.953125,1.272198825318434e-39,-390.5531285685658,noise,,0,0
16553,505157.470703125,1.260769818857554e-11,-110.59232043251424,noise,,0,0
16554,505187.98828125,7.783818676823401e-39,-382.6867513655532,noise,,0,0
16555,505218.505859375,2.3197923767128574e-11,-107.94418730168447,noise,,0,0
16556,505249.0234375,1.634863490130309e-40,-399.46386351844404,noise,,0,0
16557,505279.541015625,7.632646824332991e-13,-122.77192679797031,noise,,0,0
16558,505310.05859375,3.8359157477325665e-40,-395.75998787357406,noise,,0,0
16559,505340.576171875,1.864347714803708e-11,-108.8934093234856,noise,,0,0
16560,505371.09375,1.3823609175843239e-38,-380.1924640025448,noise,,0,0
16561,505401.611328125,1.5867718538623067e-11,-109.59353358731781,noise,,0,0
16562,505432.12890625,1.2501959222709426e-37,-370.62889769049633,noise,,0,0
16563,505462.646484375,1.5225211706130362e-11,-109.77304506893402,noise,,0,0
16564,505493.1640625,2.7387557513621663e-40,-397.22314544508384,noise,,0,0
16565,505523.681640625,2.098868157054504e-10,-98.37882688387276,noise,,0,0
16566,505554.19921875,1.01212207244522e-40,-401.54634950999736,noise,,0,0
16567,505584.716796875,2.3694372671544077e-11,-107.85222632216815,noise,,0,0
16568,505615.234375,1.6215051909090102e-39,-389.4994950377859,noise,,0,0
16569,505645.751953125,4.497193964310452e-11,-105.06926227967341,noise,,0,0
16570,505676.26953125,8.746650579306592e-39,-382.18026069888117,noise,,0,0
16571,505706.787109375,1.3462370046495412e-10,-100.30746323051142,noise,,0,0
16572,505737.3046875,1.449719896472551e-40,-399.985837477317,noise,,0,0
16573,505767.822265625,1.121824414944676e-08,-81.0994295950218,noise,,0,0
16574,505798.33984375,7.150612458843958e-40,-393.0552460583625,noise,,0,0
16575,505828.857421875,3.241939820296255e-11,-106.49062898256761,noise,,0,0
16576,505859.375,1.035770477371219e-39,-391.44604318956254,noise,,0,0
16577,505889.892578125,1.782773566178279e-11,-109.08771661070405,noise,,0,0
16578,505920.41015625,4.5438520314393967e-39,-385.0244366676981,noise,,0,0
16579,505950.927734375,2.424502783087849e-11,-107.75245160113904,noise,,0,0
16580,505981.4453125,1.561986274580605e-39,-389.66190633748533,noise,,0,0
16581,506011.962890625,3.214016723177287e-10,-96.52819714937576,noise,,0,0
16582,506042.48046875,9.460226308597495e-39,-381.83966321325073,noise,,0,0
16583,506072.998046875,4.103164497030299e-12,-115.46748918787486,noise,,0,0
16584,506103.515625,9.746268820608652e-38,-371.71029461215267,noise,,0,0
16585,506134.033203125,4.494799283305369e-11,-105.07157544148832,noise,,0,0
16586,506164.55078125,5.671333273391037e-39,-384.06182677933555,noise,,0,0
16587,506195.068359375,7.391844787670467e-10,-92.91115008004697,noise,,0,0
16588,506225.5859375,1.809574657726892e-39,-389.02291341566024,noise,,0,0
16589,506256.103515625,9.80015233269769e-11,-101.6863502071274,noise,,0,0
16590,506286.62109375,2.311128425568905e-39,-387.9604376791972,noise,,0,0
16591,506317.138671875,3.1550618987543064e-12,-116.60859963061151,noise,,0,0
16592,506347.65625,1.8696667538456539e-38,-378.8810364155239,noise,,0,0
16593,506378.173828125,1.1717754384678568e-10,-100.9102345655272,noise,,0,0
16594,506408.69140625,2.278622788523033e-40,-398.02195410644947,noise,,0,0
16595,506439.208984375,5.064447325298713e-11,-104.55335788643902,noise,,0,0
16596,506469.7265625,2.4207906730474383e-40,-397.75910609683376,noise,,0,0
16597,506500.244140625,1.5927405438855683e-11,-109.57722811740942,noise,,0,0
16598,506530.76171875,1.8776135533291999e-38,-378.86261635587863,noise,,0,0
16599,506561.279296875,1.5869405317700122e-11,-109.59307194570884,noise,,0,0
16600,506591.796875,9.797496771623093e-40,-391.6875271804695,noise,,0,0
16601,506622.314453125,4.75475510457722e-12,-114.82739693741253,noise,,0,0
16602,506652.83203125,6.102272078786175e-40,-393.7437627969552,noise,,0,0
16603,506683.349609375,3.375128945859175e-11,-106.31577477509124,noise,,0,0
16604,506713.8671875,3.61538579762028e-39,-386.01713199448824,noise,,0,0
16605,506744.384765625,5.993451311915159e-13,-123.82190865425679,noise,,0,0
16606,506774.90234375,1.3370748210672064e-39,-390.3371213656399,noise,,0,0
16607,506805.419921875,2.377868200923932e-11,-107.83680067961177,noise,,0,0
16608,506835.9375,1.3831759871063385e-39,-390.18990406414423,noise,,0,0
16609,506866.455078125,2.6591701217798012e-09,-87.35121724658774,noise,,0,0
16610,506896.97265625,3.3334512686213966e-40,-396.369737364906,noise,,0,0
16611,506927.490234375,1.3393100446406016e-11,-110.32986721096376,noise,,0,0
16612,506958.0078125,1.3817771910991737e-38,-380.194298275546,noise,,0,0
16613,506988.525390625,6.032254821395649e-12,-113.79388167879972,noise,,0,0
16614,507019.04296875,2.777720961348724e-39,-387.16179230972887,noise,,0,0
16615,507049.560546875,1.2225061562821329e-11,-110.72616792276355,noise,,0,0
16616,507080.078125,7.418858553129007e-41,-402.8953075612768,noise,,0,0
16617,507110.595703125,1.0149790510769794e-10,-101.5341076848428,noise,,0,0
16618,507141.11328125,2.806654827594317e-41,-407.1167884225604,noise,,0,0
16619,507171.630859375,2.598175677455889e-11,-107.45199334239224,noise,,0,0
16620,507202.1484375,8.47199908956162e-39,-382.3188194666434,noise,,0,0
16621,507232.666015625,6.515131206454078e-13,-123.4594468081753,noise,,0,0
16622,507263.18359375,2.990053426644956e-42,-416.84188898671215,noise,,0,0
16623,507293.701171875,2.689149672899455e-11,-107.30252872200859,noise,,0,0
16624,507324.21875,2.600563129054525e-39,-387.4480044629098,noise,,0,0
16625,507354.736328125,4.3111916348733e-12,-115.2527051917761,noise,,0,0
16626,507385.25390625,1.084827757748725e-38,-381.24507058030053,noise,,0,0
16627,507415.771484375,2.182449823955127e-12,-118.20923579333474,noise,,0,0
16628,507446.2890625,3.1230292511674696e-40,-396.6529179511945,noise,,0,0
16629,507476.806640625,7.921011911640634e-12,-112.61087180708952,noise,,0,0
